era,variant,engine,.metric,.estimate
1790,"glmnet default (alpha=1, lambda.min)",glmnet,accuracy,0.7712243074173369
1790,"glmnet default (alpha=1, lambda.min)",glmnet,kap,0.5426294210062459
1790,"glmnet default (alpha=1, lambda.min)",glmnet,mn_log_loss,1.470673484059239
1790,"glmnet default (alpha=1, lambda.min)",glmnet,roc_auc,0.836190537043545
1790,"glmnet default (alpha=1, lambda.min)",glmnet,f_meas,0.7676950998185118
1800,"glmnet default (alpha=1, lambda.min)",glmnet,accuracy,0.7862903225806451
1800,"glmnet default (alpha=1, lambda.min)",glmnet,kap,0.5726979815347272
1800,"glmnet default (alpha=1, lambda.min)",glmnet,mn_log_loss,1.4268848009947586
1800,"glmnet default (alpha=1, lambda.min)",glmnet,roc_auc,0.8578190489955196
1800,"glmnet default (alpha=1, lambda.min)",glmnet,f_meas,0.7812929848693262
1790,"xgboost default (depth=12, eta=0.1)",xgboost,accuracy,0.7721179624664879
1790,"xgboost default (depth=12, eta=0.1)",xgboost,kap,0.543943459825246
1790,"xgboost default (depth=12, eta=0.1)",xgboost,mn_log_loss,1.7632025346619857
1790,"xgboost default (depth=12, eta=0.1)",xgboost,roc_auc,0.8645889907670682
1790,"xgboost default (depth=12, eta=0.1)",xgboost,f_meas,0.7803617571059432
1800,"xgboost default (depth=12, eta=0.1)",xgboost,accuracy,0.7661290322580645
1800,"xgboost default (depth=12, eta=0.1)",xgboost,kap,0.532068706263374
1800,"xgboost default (depth=12, eta=0.1)",xgboost,mn_log_loss,1.8083807389024649
1800,"xgboost default (depth=12, eta=0.1)",xgboost,roc_auc,0.860478392831334
1800,"xgboost default (depth=12, eta=0.1)",xgboost,f_meas,0.7751937984496123
1790,glmnet alpha=0,glmnet,accuracy,0.6988382484361036
1790,glmnet alpha=0,glmnet,kap,0.39735355456296095
1790,glmnet alpha=0,glmnet,mn_log_loss,0.9896107254387061
1790,glmnet alpha=0,glmnet,roc_auc,0.7716686367847673
1790,glmnet alpha=0,glmnet,f_meas,0.7082251082251082
1800,glmnet alpha=0,glmnet,accuracy,0.6975806451612904
1800,glmnet alpha=0,glmnet,kap,0.3952749078823784
1800,glmnet alpha=0,glmnet,mn_log_loss,0.9727346498006847
