era,variant,engine,zero_share
1790,glmnet alpha=0,glmnet,0.019671943106217022
1790,glmnet alpha=0.5,glmnet,0.9683700389997706
1790,"glmnet alpha=1, lambda.1se",glmnet,0.9867515485203028
1790,"glmnet default (alpha=1, lambda.min)",glmnet,0.9755677907777013
1790,"xgboost default (depth=12, eta=0.1)",xgboost,0.9731876577196604
1790,"xgboost depth=4, eta=0.05",xgboost,0.9874684560679055
1790,"xgboost depth=4, eta=0.1",xgboost,0.9863500802936453
1790,"xgboost depth=4, eta=0.3",xgboost,0.9864647855012617
1790,"xgboost depth=6, eta=0.05",xgboost,0.9811023170451938
1790,"xgboost depth=6, eta=0.1",xgboost,0.9807295251204404
1790,"xgboost depth=6, eta=0.3",xgboost,0.9817618719889883
1790,"xgboost depth=8, eta=0.05",xgboost,0.9761699931176876
1790,"xgboost depth=8, eta=0.1",xgboost,0.9780339527414544
1790,"xgboost depth=8, eta=0.3",xgboost,0.9786935076852489
1800,glmnet alpha=0,glmnet,0.01609308299648672
1800,glmnet alpha=0.5,glmnet,0.973593744097314
1800,"glmnet alpha=1, lambda.1se",glmnet,0.9908579199879113
1800,"glmnet default (alpha=1, lambda.min)",glmnet,0.9785047788145518
1800,"xgboost default (depth=12, eta=0.1)",xgboost,0.968909372520872
1800,"xgboost depth=4, eta=0.05",xgboost,0.9840202485739111
1800,"xgboost depth=4, eta=0.1",xgboost,0.9833402591515243
1800,"xgboost depth=4, eta=0.3",xgboost,0.9828113784896679
1800,"xgboost depth=6, eta=0.05",xgboost,0.9777870122020325
1800,"xgboost depth=6, eta=0.1",xgboost,0.9774470174908391
1800,"xgboost depth=6, eta=0.3",xgboost,0.9786558875750822
1800,"xgboost depth=8, eta=0.05",xgboost,0.9723093196328058
1800,"xgboost depth=8, eta=0.1",xgboost,0.9733293037663858
1800,"xgboost depth=8, eta=0.3",xgboost,0.9760870386460655
1860,glmnet alpha=0,glmnet,0.005988233646168932
1860,glmnet alpha=0.5,glmnet,0.9805294859223981
1860,"glmnet alpha=1, lambda.1se",glmnet,0.9921907830228324
1860,"glmnet default (alpha=1, lambda.min)",glmnet,0.9815100154083205
1860,"xgboost default (depth=12, eta=0.1)",xgboost,0.9588177615912593
1860,"xgboost depth=4, eta=0.05",xgboost,0.9828057150861466
1860,"xgboost depth=4, eta=0.1",xgboost,0.981404958677686
1860,"xgboost depth=4, eta=0.3",xgboost,0.9807746182938787
1860,"xgboost depth=6, eta=0.05",xgboost,0.9716346827286735
